customerID,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,-0.44047699244535515,-1.2826368140734004,-0.8303371920781404,-1.1640524529247205,-0.9979904076233654,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
5575-GNVDE,-0.44047699244535515,0.06238245010809279,0.3684695991167237,-0.2627920471730676,-0.17696888484841022,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
3668-QPYBK,-0.44047699244535515,-1.2418786545527492,-0.8303371920781404,-0.36588825594908697,-0.963421545077575,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
7795-CFOCW,-0.44047699244535515,0.5107222048352572,0.3684695991167237,-0.7500047757436107,-0.19849164409626818,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False
9237-HQITU,-0.44047699244535515,-1.2418786545527492,-0.8303371920781404,0.19448952401088906,-0.9442166214410248,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
9305-CDSKC,-0.44047699244535515,-0.9973296974288413,-0.8303371920781404,1.157275086612747,-0.6489243645604136,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
1452-KIOVK,-0.44047699244535515,-0.42671546413972294,-0.8303371920781404,0.8064154083588745,-0.15052348425463188,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
6713-OKOMC,-0.44047699244535515,-0.9158133783875386,-0.8303371920781404,-1.1673781370787857,-0.8778823737078831,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
7892-POOKP,-0.44047699244535515,-0.18216650701581508,-0.8303371920781404,1.3285478205471015,0.3336392630102592,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
6388-TABGU,-0.44047699244535515,1.2036109166863296,0.3684695991167237,-0.28939752040558886,0.5287347976077654,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
